"teacher_id","full_name","department","role","year","experience_years","block_1","block_2","block_3","block_4","total_kpi"
"8","Gulzat Tokayeva","School of Software Engineering","PROFESSOR","2023","7","15.2","9.6","4.8","0.0","26.9"
"8","Gulzat Tokayeva","School of Software Engineering","PROFESSOR","2024","8","20.2","12.8","7.4","10.0","52.5"
"8","Gulzat Tokayeva","School of Software Engineering","PROFESSOR","2025","9","13.5","9.9","5.8","6.3","32.8"
"9","Almas Kassymov","School of Software Engineering","ASSOCIATE_PROFESSOR","2021","3","23.5","12.8","15.8","0.0","55.0"
"9","Almas Kassymov","School of Software Engineering","ASSOCIATE_PROFESSOR","2022","4","24.8","20.3","15.4","14.8","75.4"
"9","Almas Kassymov","School of Software Engineering","ASSOCIATE_PROFESSOR","2023","5","23.8","19.6","15.2","11.8","70.3"
"9","Almas Kassymov","School of Software Engineering","ASSOCIATE_PROFESSOR","2024","6","21.7","19.5","12.6","14.2","69.1"
"9","Almas Kassymov","School of Software Engineering","ASSOCIATE_PROFESSOR","2025","7","28.4","24.7","13.5","15.0","83.7"
"10","Ainur Umarov","School of Software Engineering","ASSOCIATE_PROFESSOR","2021","12","30.2","23.6","16.9","15.0","83.9"
"10","Ainur Umarov","School of Software Engineering","ASSOCIATE_PROFESSOR","2022","13","32.2","20.8","17.5","0.0","73.1"
"10","Ainur Umarov","School of Software Engineering","ASSOCIATE_PROFESSOR","2023","14","32.1","26.6","16.6","15.0","93.0"
"10","Ainur Umarov","School of Software Engineering","ASSOCIATE_PROFESSOR","2024","15","27.8","19.0","16.5","15.0","78.7"
"10","Ainur Umarov","School of Software Engineering","ASSOCIATE_PROFESSOR","2025","16","27.5","26.0","18.6","15.0","89.7"
"11","Dinara Dairova","School of Software Engineering","ASSOCIATE_PROFESSOR","2021","18","24.1","19.8","17.5","15.0","77.4"
"11","Dinara Dairova","School of Software Engineering","ASSOCIATE_PROFESSOR","2022","19","31.6","26.3","13.5","15.0","84.3"
"11","Dinara Dairova","School of Software Engineering","ASSOCIATE_PROFESSOR","2023","20","30.9","22.2","14.0","15.0","84.7"
"11","Dinara Dairova","School of Software Engineering","ASSOCIATE_PROFESSOR","2024","21","28.2","23.1","20.0","15.0","84.0"
"11","Dinara Dairova","School of Software Engineering","ASSOCIATE_PROFESSOR","2025","22","31.9","22.4","18.3","13.2","85.5"
"12","Bauyrzhan Mukhambetova","School of Software Engineering","ASSOCIATE_PROFESSOR","2021","18","15.9","14.9","9.7","15.0","57.2"
"12","Bauyrzhan Mukhambetova","School of Software Engineering","ASSOCIATE_PROFESSOR","2022","19","21.6","18.1","7.4","8.2","58.3"
"12","Bauyrzhan Mukhambetova","School of Software Engineering","ASSOCIATE_PROFESSOR","2023","20","19.4","11.3","14.2","0.0","46.6"
"12","Bauyrzhan Mukhambetova","School of Software Engineering","ASSOCIATE_PROFESSOR","2024","21","21.2","16.2","5.1","0.6","44.9"
"12","Bauyrzhan Mukhambetova","School of Software Engineering","ASSOCIATE_PROFESSOR","2025","22","19.9","9.7","12.4","14.8","58.0"
"13","Dana Baisalova","School of Software Engineering","ASSOCIATE_PROFESSOR","2021","19","26.6","23.8","14.1","15.0","80.3"
"13","Dana Baisalova","School of Software Engineering","ASSOCIATE_PROFESSOR","2022","20","29.9","30.0","16.0","15.0","93.8"
"13","Dana Baisalova","School of Software Engineering","ASSOCIATE_PROFESSOR","2023","21","29.9","30.0","15.1","15.0","88.0"
"13","Dana Baisalova","School of Software Engineering","ASSOCIATE_PROFESSOR","2024","22","29.9","30.0","18.5","15.0","93.8"
"13","Dana Baisalova","School of Software Engineering","ASSOCIATE_PROFESSOR","2025","23","35.0","25.4","19.1","15.0","97.1"
"14","Dastan Nurgaliev","School of Software Engineering","ASSOCIATE_PROFESSOR","2021","22","27.0","22.1","15.1","0.2","63.2"
"14","Dastan Nurgaliev","School of Software Engineering","ASSOCIATE_PROFESSOR","2022","23","28.3","24.6","14.6","13.8","81.8"
"14","Dastan Nurgaliev","School of Software Engineering","ASSOCIATE_PROFESSOR","2023","24","22.2","22.2","15.1","15.0","74.9"
"14","Dastan Nurgaliev","School of Software Engineering","ASSOCIATE_PROFESSOR","2024","25","29.8","25.8","14.3","15.0","84.5"
"14","Dastan Nurgaliev","School of Software Engineering","ASSOCIATE_PROFESSOR","2025","26","28.0","25.3","19.2","15.0","87.5"
"15","Dias Mukhambetova","School of Software Engineering","ASSOCIATE_PROFESSOR","2021","8","27.4","19.1","17.3","11.6","72.8"
"15","Dias Mukhambetova","School of Software Engineering","ASSOCIATE_PROFESSOR","2022","9","22.1","20.5","13.5","14.5","72.1"
"15","Dias Mukhambetova","School of Software Engineering","ASSOCIATE_PROFESSOR","2023","10","28.1","24.8","12.9","15.0","78.5"
"15","Dias Mukhambetova","School of Software Engineering","ASSOCIATE_PROFESSOR","2024","11","29.3","26.2","16.9","15.0","88.6"
"15","Dias Mukhambetova","School of Software Engineering","ASSOCIATE_PROFESSOR","2025","12","26.2","16.3","11.2","12.2","63.9"
"16","Bauyrzhan Tokayeva","School of Software Engineering","ASSOCIATE_PROFESSOR","2021","15","34.2","25.7","20.0","14.0","93.6"
"16","Bauyrzhan Tokayeva","School of Software Engineering","ASSOCIATE_PROFESSOR","2022","16","25.1","27.7","16.1","14.1","81.1"
"16","Bauyrzhan Tokayeva","School of Software Engineering","ASSOCIATE_PROFESSOR","2023","17","27.1","24.5","16.0","15.0","82.6"
"16","Bauyrzhan Tokayeva","School of Software Engineering","ASSOCIATE_PROFESSOR","2024","18","27.8","29.4","18.7","15.0","92.5"
"16","Bauyrzhan Tokayeva","School of Software Engineering","ASSOCIATE_PROFESSOR","2025","19","27.5","25.1","14.9","15.0","84.1"
"17","Meruert Baisalova","School of Software Engineering","ASSOCIATE_PROFESSOR","2021","12","33.3","30.0","19.9","15.0","98.2"
"17","Meruert Baisalova","School of Software Engineering","ASSOCIATE_PROFESSOR","2022","13","30.0","28.1","20.0","15.0","92.1"
"17","Meruert Baisalova","School of Software Engineering","ASSOCIATE_PROFESSOR","2023","14","28.3","30.0","18.4","15.0","88.7"
"17","Meruert Baisalova","School of Software Engineering","ASSOCIATE_PROFESSOR","2024","15","34.6","29.2","20.0","15.0","100.0"
"17","Meruert Baisalova","School of Software Engineering","ASSOCIATE_PROFESSOR","2025","16","35.0","30.0","20.0","15.0","100.0"
"18","Timur Dzhaksybekov","School of Software Engineering","ASSOCIATE_PROFESSOR","2021","20","20.4","18.6","16.0","11.4","67.8"
"18","Timur Dzhaksybekov","School of Software Engineering","ASSOCIATE_PROFESSOR","2022","21","20.0","14.7","7.7","14.1","59.4"
"18","Timur Dzhaksybekov","School of Software Engineering","ASSOCIATE_PROFESSOR","2023","22","26.7","17.9","15.4","0.0","62.5"
"18","Timur Dzhaksybekov","School of Software Engineering","ASSOCIATE_PROFESSOR","2024","23","19.2","19.2","9.1","0.0","49.1"
"18","Timur Dzhaksybekov","School of Software Engineering","ASSOCIATE_PROFESSOR","2025","24","28.4","25.3","10.4","15.0","81.2"
"19","Serik Bizhanova","School of Software Engineering","ASSOCIATE_PROFESSOR","2021","6","25.5","23.5","9.8","15.0","74.8"
"19","Serik Bizhanova","School of Software Engineering","ASSOCIATE_PROFESSOR","2022","7","28.2","19.6","17.6","15.0","79.8"
"19","Serik Bizhanova","School of Software Engineering","ASSOCIATE_PROFESSOR","2023","8","28.0","17.6","9.7","15.0","72.1"
"19","Serik Bizhanova","School of Software Engineering","ASSOCIATE_PROFESSOR","2024","9","24.9","22.2","11.8","15.0","75.1"
"19","Serik Bizhanova","School of Software Engineering","ASSOCIATE_PROFESSOR","2025","10","26.9","28.1","15.9","15.0","83.3"
"20","Nazerke Tokayeva","School of Software Engineering","ASSOCIATE_PROFESSOR","2021","21","23.0","23.4","17.3","15.0","81.5"
"20","Nazerke Tokayeva","School of Software Engineering","ASSOCIATE_PROFESSOR","2022","22","30.0","23.2","20.0","15.0","90.7"
"20","Nazerke Tokayeva","School of Software Engineering","ASSOCIATE_PROFESSOR","2023","23","32.6","26.8","18.8","15.0","92.1"
"20","Nazerke Tokayeva","School of Software Engineering","ASSOCIATE_PROFESSOR","2024","24","32.9","22.8","17.3","15.0","87.6"
"20","Nazerke Tokayeva","School of Software Engineering","ASSOCIATE_PROFESSOR","2025","25","34.5","27.1","20.0","15.0","94.7"
"21","Almas Seitkali","School of Software Engineering","ASSISTANT_PROFESSOR","2021","8","19.9","29.4","15.0","20.0","81.5"
"21","Almas Seitkali","School of Software Engineering","ASSISTANT_PROFESSOR","2022","9","22.1","25.8","10.5","6.3","63.6"
"21","Almas Seitkali","School of Software Engineering","ASSISTANT_PROFESSOR","2023","10","20.9","27.8","8.0","20.0","75.5"
"21","Almas Seitkali","School of Software Engineering","ASSISTANT_PROFESSOR","2024","11","24.0","24.0","8.5","19.6","76.1"
"21","Almas Seitkali","School of Software Engineering","ASSISTANT_PROFESSOR","2025","12","23.6","28.8","15.0","20.0","86.3"
"22","Almas Kenzhebekova","School of Software Engineering","ASSISTANT_PROFESSOR","2021","9","12.6","16.8","3.7","20.0","50.4"
"22","Almas Kenzhebekova","School of Software Engineering","ASSISTANT_PROFESSOR","2022","10","15.2","11.8","2.0","20.0","46.1"
"22","Almas Kenzhebekova","School of Software Engineering","ASSISTANT_PROFESSOR","2023","11","7.6","10.5","7.4","16.9","42.9"
"22","Almas Kenzhebekova","School of Software Engineering","ASSISTANT_PROFESSOR","2024","12","9.2","20.0","8.3","20.0","59.6"
"22","Almas Kenzhebekova","School of Software Engineering","ASSISTANT_PROFESSOR","2025","13","17.8","15.4","7.8","15.7","58.6"
"23","Rustem Sharipov","School of Software Engineering","ASSISTANT_PROFESSOR","2021","23","27.1","29.1","9.2","20.0","82.9"
"23","Rustem Sharipov","School of Software Engineering","ASSISTANT_PROFESSOR","2022","24","21.2","21.7","8.0","20.0","72.3"
"23","Rustem Sharipov","School of Software Engineering","ASSISTANT_PROFESSOR","2023","25","26.3","27.1","7.5","20.0","78.9"
"23","Rustem Sharipov","School of Software Engineering","ASSISTANT_PROFESSOR","2024","26","27.8","21.8","6.6","20.0","74.0"
"23","Rustem Sharipov","School of Software Engineering","ASSISTANT_PROFESSOR","2025","27","28.7","29.4","13.7","20.0","92.4"
"24","Aigerim Bekmuratova","School of Software Engineering","ASSISTANT_PROFESSOR","2021","13","24.5","30.0","6.6","20.0","83.3"
"24","Aigerim Bekmuratova","School of Software Engineering","ASSISTANT_PROFESSOR","2022","14","23.4","26.6","10.1","20.0","80.5"
"24","Aigerim Bekmuratova","School of Software Engineering","ASSISTANT_PROFESSOR","2023","15","28.6","26.9","12.0","0.0","66.9"
"24","Aigerim Bekmuratova","School of Software Engineering","ASSISTANT_PROFESSOR","2024","16","26.6","25.4","13.2","20.0","83.3"
"24","Aigerim Bekmuratova","School of Software Engineering","ASSISTANT_PROFESSOR","2025","17","25.5","29.7","8.1","20.0","85.6"
"25","Saule Karimov","School of Software Engineering","ASSISTANT_PROFESSOR","2021","5","21.3","27.0","12.9","20.0","78.8"
"25","Saule Karimov","School of Software Engineering","ASSISTANT_PROFESSOR","2022","6","26.8","30.0","7.6","20.0","81.5"
"25","Saule Karimov","School of Software Engineering","ASSISTANT_PROFESSOR","2023","7","24.2","31.9","15.0","20.0","91.8"
"25","Saule Karimov","School of Software Engineering","ASSISTANT_PROFESSOR","2024","8","25.3","31.6","15.0","20.0","91.2"
"25","Saule Karimov","School of Software Engineering","ASSISTANT_PROFESSOR","2025","9","22.6","27.3","15.0","20.0","83.4"
"26","Serik Kulmanov","School of Software Engineering","ASSISTANT_PROFESSOR","2021","9","18.3","22.3","5.7","15.4","61.8"
"26","Serik Kulmanov","School of Software Engineering","ASSISTANT_PROFESSOR","2022","10","13.7","14.3","7.9","20.0","55.9"
"26","Serik Kulmanov","School of Software Engineering","ASSISTANT_PROFESSOR","2023","11","12.6","15.5","10.2","20.0","61.2"
"26","Serik Kulmanov","School of Software Engineering","ASSISTANT_PROFESSOR","2024","12","21.9","16.0","5.1","20.0","60.6"
"26","Serik Kulmanov","School of Software Engineering","ASSISTANT_PROFESSOR","2025","13","20.4","22.8","6.3","17.4","69.0"
"27","Nurgul Kenzhebekova","School of Software Engineering","ASSISTANT_PROFESSOR","2021","12","20.9","19.6","8.0","20.0","70.1"
"27","Nurgul Kenzhebekova","School of Software Engineering","ASSISTANT_PROFESSOR","2022","13","22.3","17.1","12.9","7.1","57.5"
"27","Nurgul Kenzhebekova","School of Software Engineering","ASSISTANT_PROFESSOR","2023","14","17.5","18.4","11.1","20.0","66.0"
"27","Nurgul Kenzhebekova","School of Software Engineering","ASSISTANT_PROFESSOR","2024","15","16.0","19.1","5.9","20.0","62.7"
"27","Nurgul Kenzhebekova","School of Software Engineering","ASSISTANT_PROFESSOR","2025","16","19.0","22.6","9.9","17.0","66.3"
"28","Yerlan Tursunov","School of Software Engineering","ASSISTANT_PROFESSOR","2021","16","22.4","30.9","7.9","20.0","79.7"
"28","Yerlan Tursunov","School of Software Engineering","ASSISTANT_PROFESSOR","2022","17","17.4","28.9","8.8","20.0","74.5"
"28","Yerlan Tursunov","School of Software Engineering","ASSISTANT_PROFESSOR","2023","18","18.7","30.3","14.1","20.0","81.0"
"28","Yerlan Tursunov","School of Software Engineering","ASSISTANT_PROFESSOR","2024","19","22.3","23.4","10.4","20.0","77.6"
"28","Yerlan Tursunov","School of Software Engineering","ASSISTANT_PROFESSOR","2025","20","22.6","34.0","12.1","20.0","91.7"
"29","Nurlan Tulegenova","School of Software Engineering","ASSISTANT_PROFESSOR","2021","5","15.7","23.0","6.3","20.0","64.4"
"29","Nurlan Tulegenova","School of Software Engineering","ASSISTANT_PROFESSOR","2022","6","20.4","28.1","10.7","20.0","79.0"
"29","Nurlan Tulegenova","School of Software Engineering","ASSISTANT_PROFESSOR","2023","7","22.8","25.2","14.0","19.7","81.4"
"29","Nurlan Tulegenova","School of Software Engineering","ASSISTANT_PROFESSOR","2024","8","28.9","35.0","13.5","20.0","100.0"
"29","Nurlan Tulegenova","School of Software Engineering","ASSISTANT_PROFESSOR","2025","9","28.7","29.7","13.8","20.0","94.6"
"30","Meiram Issabekov","School of Software Engineering","ASSISTANT_PROFESSOR","2021","3","25.4","26.4","11.1","20.0","80.5"
"30","Meiram Issabekov","School of Software Engineering","ASSISTANT_PROFESSOR","2022","4","26.6","30.9","7.7","20.0","86.9"
"30","Meiram Issabekov","School of Software Engineering","ASSISTANT_PROFESSOR","2023","5","24.4","33.1","9.8","20.0","86.0"
"30","Meiram Issabekov","School of Software Engineering","ASSISTANT_PROFESSOR","2024","6","30.0","29.8","14.4","20.0","94.9"
"30","Meiram Issabekov","School of Software Engineering","ASSISTANT_PROFESSOR","2025","7","28.8","30.3","15.0","20.0","91.2"
"31","Nazerke Issabekov","School of Software Engineering","ASSISTANT_PROFESSOR","2021","15","22.9","23.4","9.0","20.0","74.2"
"31","Nazerke Issabekov","School of Software Engineering","ASSISTANT_PROFESSOR","2022","16","19.6","24.3","8.2","20.0","74.6"
"31","Nazerke Issabekov","School of Software Engineering","ASSISTANT_PROFESSOR","2023","17","26.3","27.5","13.4","20.0","86.9"
"31","Nazerke Issabekov","School of Software Engineering","ASSISTANT_PROFESSOR","2024","18","22.4","22.3","8.1","20.0","71.1"
"31","Nazerke Issabekov","School of Software Engineering","ASSISTANT_PROFESSOR","2025","19","26.2","23.1","6.4","20.0","77.7"
"32","Raushan Akhmetov","School of Software Engineering","ASSISTANT_PROFESSOR","2021","22","23.5","20.3","9.3","18.7","69.7"
"32","Raushan Akhmetov","School of Software Engineering","ASSISTANT_PROFESSOR","2022","23","22.1","28.7","15.0","10.6","75.0"
"32","Raushan Akhmetov","School of Software Engineering","ASSISTANT_PROFESSOR","2023","24","24.5","22.7","14.7","20.0","82.2"
"32","Raushan Akhmetov","School of Software Engineering","ASSISTANT_PROFESSOR","2024","25","25.1","28.7","15.0","20.0","86.4"
"32","Raushan Akhmetov","School of Software Engineering","ASSISTANT_PROFESSOR","2025","26","29.4","26.9","11.9","19.9","89.1"
"33","Serik Tokayeva","School of Software Engineering","ASSISTANT_PROFESSOR","2021","25","19.9","23.2","11.7","17.6","73.9"
"33","Serik Tokayeva","School of Software Engineering","ASSISTANT_PROFESSOR","2022","26","18.6","25.7","5.8","16.4","64.4"
"33","Serik Tokayeva","School of Software Engineering","ASSISTANT_PROFESSOR","2023","27","14.9","18.0","4.6","20.0","54.7"
"33","Serik Tokayeva","School of Software Engineering","ASSISTANT_PROFESSOR","2024","28","23.5","20.4","6.6","20.0","70.7"
"33","Serik Tokayeva","School of Software Engineering","ASSISTANT_PROFESSOR","2025","29","17.9","24.6","13.4","20.0","75.9"
"34","Ainur Musayev","School of Software Engineering","ASSISTANT_PROFESSOR","2021","14","20.7","23.2","7.7","20.0","69.3"
"34","Ainur Musayev","School of Software Engineering","ASSISTANT_PROFESSOR","2022","15","16.6","19.9","13.2","20.0","67.5"
"34","Ainur Musayev","School of Software Engineering","ASSISTANT_PROFESSOR","2023","16","20.4","23.3","14.2","20.0","76.1"
"34","Ainur Musayev","School of Software Engineering","ASSISTANT_PROFESSOR","2024","17","21.8","21.5","12.5","20.0","77.8"
"34","Ainur Musayev","School of Software Engineering","ASSISTANT_PROFESSOR","2025","18","16.8","20.6","11.8","20.0","68.7"
"35","Zhandos Akhmetov","School of Software Engineering","ASSISTANT_PROFESSOR","2021","24","24.0","24.8","9.2","20.0","76.9"
"35","Zhandos Akhmetov","School of Software Engineering","ASSISTANT_PROFESSOR","2022","25","23.2","20.6","5.7","20.0","70.4"
"35","Zhandos Akhmetov","School of Software Engineering","ASSISTANT_PROFESSOR","2023","26","24.5","23.7","10.0","17.3","73.8"
"35","Zhandos Akhmetov","School of Software Engineering","ASSISTANT_PROFESSOR","2024","27","18.3","26.7","7.8","6.1","57.0"
"35","Zhandos Akhmetov","School of Software Engineering","ASSISTANT_PROFESSOR","2025","28","24.0","22.0","8.8","1.5","57.0"
"36","Gaukhar Dzhakupova","School of Software Engineering","ASSISTANT_PROFESSOR","2021","17","23.1","26.7","5.6","8.2","61.3"
"36","Gaukhar Dzhakupova","School of Software Engineering","ASSISTANT_PROFESSOR","2022","18","23.6","27.8","10.8","17.5","79.1"
"36","Gaukhar Dzhakupova","School of Software Engineering","ASSISTANT_PROFESSOR","2023","19","25.3","25.1","13.5","20.0","83.9"
"36","Gaukhar Dzhakupova","School of Software Engineering","ASSISTANT_PROFESSOR","2024","20","26.0","23.6","9.6","18.4","76.5"
"36","Gaukhar Dzhakupova","School of Software Engineering","ASSISTANT_PROFESSOR","2025","21","16.5","27.6","11.1","20.0","74.8"
"37","Dias Tursunov","School of Software Engineering","SENIOR_LECTURER","2021","20","33.3","57.5","0.0","0.0","89.8"
"37","Dias Tursunov","School of Software Engineering","SENIOR_LECTURER","2022","21","30.1","60.0","0.0","0.0","90.4"
"37","Dias Tursunov","School of Software Engineering","SENIOR_LECTURER","2023","22","27.5","54.6","0.0","0.0","80.1"
"37","Dias Tursunov","School of Software Engineering","SENIOR_LECTURER","2024","23","29.7","60.0","0.0","0.0","91.2"
"37","Dias Tursunov","School of Software Engineering","SENIOR_LECTURER","2025","24","33.5","60.0","0.0","0.0","94.5"
"38","Yerlan Baisalova","School of Software Engineering","SENIOR_LECTURER","2021","25","39.4","60.0","0.0","0.0","99.9"
"38","Yerlan Baisalova","School of Software Engineering","SENIOR_LECTURER","2022","26","28.4","60.0","0.0","0.0","85.6"
"38","Yerlan Baisalova","School of Software Engineering","SENIOR_LECTURER","2023","27","38.4","60.0","0.0","0.0","95.4"
"38","Yerlan Baisalova","School of Software Engineering","SENIOR_LECTURER","2024","28","35.2","60.0","0.0","0.0","95.6"
"38","Yerlan Baisalova","School of Software Engineering","SENIOR_LECTURER","2025","29","32.9","60.0","0.0","0.0","93.1"
"39","Serik Syzdykova","School of Software Engineering","SENIOR_LECTURER","2021","1","36.8","60.0","0.0","0.0","97.4"
"39","Serik Syzdykova","School of Software Engineering","SENIOR_LECTURER","2022","2","33.5","42.0","0.0","0.0","75.9"
"39","Serik Syzdykova","School of Software Engineering","SENIOR_LECTURER","2023","3","38.9","60.0","0.0","0.0","98.4"
"39","Serik Syzdykova","School of Software Engineering","SENIOR_LECTURER","2024","4","39.4","60.0","0.0","0.0","98.2"
"39","Serik Syzdykova","School of Software Engineering","SENIOR_LECTURER","2025","5","34.3","60.0","0.0","0.0","95.4"
"40","Sholpan Bekova","School of Software Engineering","SENIOR_LECTURER","2021","4","27.4","54.8","0.0","0.0","79.4"
"40","Sholpan Bekova","School of Software Engineering","SENIOR_LECTURER","2022","5","26.4","50.6","0.0","0.0","75.1"
"40","Sholpan Bekova","School of Software Engineering","SENIOR_LECTURER","2023","6","21.9","53.0","0.0","0.0","76.8"
"40","Sholpan Bekova","School of Software Engineering","SENIOR_LECTURER","2024","7","24.8","60.0","0.0","0.0","85.6"
"40","Sholpan Bekova","School of Software Engineering","SENIOR_LECTURER","2025","8","28.6","43.3","0.0","0.0","74.7"
"41","Aliya Bizhanova","School of Software Engineering","SENIOR_LECTURER","2021","2","32.2","60.0","0.0","0.0","89.5"
"41","Aliya Bizhanova","School of Software Engineering","SENIOR_LECTURER","2022","3","36.3","54.9","0.0","0.0","89.1"
"41","Aliya Bizhanova","School of Software Engineering","SENIOR_LECTURER","2023","4","37.9","60.0","0.0","0.0","97.6"
"41","Aliya Bizhanova","School of Software Engineering","SENIOR_LECTURER","2024","5","36.8","60.0","0.0","0.0","95.5"
"41","Aliya Bizhanova","School of Software Engineering","SENIOR_LECTURER","2025","6","31.0","60.0","0.0","0.0","93.0"
"42","Kanat Mukhambetova","School of Software Engineering","SENIOR_LECTURER","2021","3","35.5","59.4","0.0","0.0","96.7"
"42","Kanat Mukhambetova","School of Software Engineering","SENIOR_LECTURER","2022","4","33.4","60.0","0.0","0.0","94.6"
"42","Kanat Mukhambetova","School of Software Engineering","SENIOR_LECTURER","2023","5","33.0","60.0","0.0","0.0","92.3"
"42","Kanat Mukhambetova","School of Software Engineering","SENIOR_LECTURER","2024","6","27.7","60.0","0.0","0.0","90.3"
"42","Kanat Mukhambetova","School of Software Engineering","SENIOR_LECTURER","2025","7","28.5","60.0","0.0","0.0","91.4"
"43","Gulnara Kulmanov","School of Software Engineering","SENIOR_LECTURER","2021","25","31.4","60.0","0.0","0.0","89.8"
"43","Gulnara Kulmanov","School of Software Engineering","SENIOR_LECTURER","2022","26","26.0","44.8","0.0","0.0","73.3"
"43","Gulnara Kulmanov","School of Software Engineering","SENIOR_LECTURER","2023","27","31.5","60.0","0.0","0.0","92.2"
"43","Gulnara Kulmanov","School of Software Engineering","SENIOR_LECTURER","2024","28","37.2","60.0","0.0","0.0","95.6"
"43","Gulnara Kulmanov","School of Software Engineering","SENIOR_LECTURER","2025","29","37.5","60.0","0.0","0.0","97.7"
"44","Yerlan Alimov","School of Software Engineering","SENIOR_LECTURER","2021","18","28.6","60.0","0.0","0.0","88.2"
"44","Yerlan Alimov","School of Software Engineering","SENIOR_LECTURER","2022","19","31.8","60.0","0.0","0.0","89.9"
"44","Yerlan Alimov","School of Software Engineering","SENIOR_LECTURER","2023","20","28.1","57.2","0.0","0.0","84.9"
"44","Yerlan Alimov","School of Software Engineering","SENIOR_LECTURER","2024","21","31.1","60.0","0.0","0.0","88.5"
"44","Yerlan Alimov","School of Software Engineering","SENIOR_LECTURER","2025","22","29.6","59.1","0.0","0.0","91.6"
